,longtitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,price,prediction
10548,-117.77,33.7,3,3636,749.0,1486,696,5.5464,<1H OCEAN,207500,245610.06
3608,-118.46,34.23,16,6338,1768.0,4718,1632,3.0187,<1H OCEAN,154600,176633.0
11279,-117.96,33.8,35,1493,267.0,811,272,5.244,<1H OCEAN,218000,210955.0
17669,-121.86,37.31,24,1939,652.0,1808,625,2.2259,<1H OCEAN,112500,139745.0
1809,-122.32,37.92,29,2304,399.0,1377,454,5.0187,NEAR BAY,140600,184789.0
1301,-121.82,38.0,30,3268,567.0,1714,565,4.4583,INLAND,131000,138140.0
11421,-117.98,33.7,24,3451,504.0,1736,493,6.3749,<1H OCEAN,278000,273111.0
2121,-119.7,36.75,11,3626,779.0,1819,731,2.4956,INLAND,87500,84560.0
5266,-118.55,34.04,41,1482,239.0,617,242,8.8619,<1H OCEAN,500001,494644.92
11933,-117.4,33.93,35,1468,298.0,1168,261,2.2222,INLAND,81300,94205.0
14127,-117.09,32.75,24,1245,376.0,1230,362,1.875,NEAR OCEAN,95000,99613.0
12400,-116.31,33.66,7,4497,831.0,2248,713,3.6354,INLAND,98000,100633.0
17781,-121.83,37.38,31,3633,843.0,2677,797,3.2222,<1H OCEAN,184800,184890.0
2612,-124.16,41.02,23,1672,385.0,1060,390,2.1726,NEAR OCEAN,75500,77147.0
2139,-119.74,36.77,30,2427,482.0,1375,518,2.5737,INLAND,76900,74988.0
9894,-122.3,38.29,40,1739,318.0,744,312,2.6518,NEAR BAY,156100,151789.0
15935,-122.41,37.73,41,2115,378.0,1168,365,4.0642,NEAR BAY,272500,261898.0
1410,-122.07,37.94,30,1260,276.0,707,221,2.892,NEAR BAY,220800,200260.0
632,-122.16,37.72,38,1007,245.0,618,239,2.875,NEAR BAY,144800,154916.0
14949,-116.97,32.74,14,7410,1344.0,3597,1274,4.2192,<1H OCEAN,176100,176257.0
9311,-122.55,37.98,31,3807,828.0,1581,795,3.293,NEAR BAY,337500,319993.03
8096,-118.21,33.81,45,1693,337.0,1255,333,3.6923,NEAR OCEAN,159700,161432.0
19151,-122.7,38.35,14,1555,369.0,493,335,1.6033,<1H OCEAN,67500,108757.0
17192,-119.77,34.44,24,5652,1313.0,2312,1294,2.4717,NEAR OCEAN,295300,271606.01
11869,-121.14,40.29,17,1944,394.0,384,172,1.6875,INLAND,111500,103986.0
964,-121.89,37.68,12,7490,1207.0,3329,1136,6.3373,<1H OCEAN,339700,322761.0
18023,-121.95,37.25,34,2906,544.0,1282,522,5.5127,<1H OCEAN,268200,298822.04
20236,-119.27,34.27,52,459,112.0,276,107,2.375,NEAR OCEAN,198400,213027.03
19483,-120.98,37.66,40,3012,616.0,1423,595,2.6346,INLAND,100600,104270.0
2174,-119.85,36.77,9,1142,314.0,620,283,2.0446,INLAND,81300,74783.0
7362,-118.19,33.97,27,2911,972.0,3559,945,1.9485,<1H OCEAN,146300,149491.0
14544,-117.25,32.96,18,4773,743.0,1970,716,6.6199,NEAR OCEAN,406200,375289.01
15574,-116.78,33.0,7,12480,1946.0,5102,1697,5.5102,<1H OCEAN,221000,223771.0
18606,-122.13,37.15,39,2854,613.0,1338,518,3.9423,NEAR OCEAN,180300,205802.0
10913,-117.86,33.73,26,1702,456.0,2776,463,2.6385,<1H OCEAN,180200,170065.0
14514,-117.15,32.9,12,1681,381.0,1050,362,4.2008,<1H OCEAN,176100,179057.0
12395,-116.33,33.72,11,12327,2000.0,2450,1139,7.4382,INLAND,353100,323396.0
4316,-118.34,34.09,14,3032,999.0,1691,841,2.2,<1H OCEAN,210000,223647.0
3113,-117.66,35.62,11,5897,1138.0,2728,1072,4.15,INLAND,85700,92679.0
16382,-121.29,38.0,4,1392,322.0,1784,309,2.375,INLAND,124500,120679.0
20537,-121.73,38.54,18,974,317.0,521,317,1.0633,INLAND,137500,128469.0
19365,-123.08,38.38,28,3297,676.0,923,373,3.9167,NEAR OCEAN,232600,245144.0
69,-122.29,37.81,46,2801,644.0,1823,611,0.9802,NEAR BAY,129200,124889.0
642,-122.14,37.73,38,1723,394.0,711,353,3.0673,NEAR BAY,218400,198269.0
14714,-117.05,32.8,16,1561,378.0,574,350,3.0035,<1H OCEAN,94600,119466.0
14460,-117.27,32.85,34,2105,444.0,780,406,2.3187,NEAR OCEAN,488900,396366.0
9891,-122.28,38.29,23,1398,388.0,1112,406,2.2366,NEAR BAY,140200,147286.0
16224,-121.33,37.98,36,3113,576.0,1746,544,3.4625,INLAND,84600,95040.0
10564,-117.75,33.72,10,2464,347.0,1241,366,8.7603,<1H OCEAN,362500,363045.0
19268,-122.74,38.43,11,4670,1007.0,2430,962,3.0341,<1H OCEAN,142300,144589.0
16153,-122.48,37.78,50,2159,437.0,1111,417,3.5588,NEAR BAY,346400,360962.04
5935,-117.87,34.15,24,5745,735.0,2061,679,8.2827,INLAND,451400,399199.0
1014,-121.77,37.68,41,1501,299.0,629,288,4.6806,INLAND,209400,207294.0
16852,-122.42,37.63,46,1811,337.0,796,333,3.43,NEAR OCEAN,292900,273938.0
2718,-115.57,32.8,16,2276,594.0,1184,513,1.875,INLAND,93800,83711.0
5399,-118.43,34.03,39,1733,429.0,855,387,3.2308,<1H OCEAN,340800,346357.05
5822,-118.33,34.21,31,3190,489.0,1362,480,6.981,<1H OCEAN,402900,409249.09
5715,-118.23,34.2,51,1477,280.0,750,295,5.3925,<1H OCEAN,317900,320892.0
9447,-119.8,37.5,15,989,184.0,406,151,3.1771,INLAND,121900,116746.0
1332,-121.88,38.0,22,721,117.0,367,129,5.3098,INLAND,151900,163882.0
16799,-122.44,37.67,35,1814,365.0,1025,384,4.425,NEAR OCEAN,268400,268294.0
16872,-122.42,37.6,34,3562,565.0,1542,563,5.8783,NEAR OCEAN,405100,408075.06
7187,-118.17,34.04,43,908,232.0,1005,224,1.75,<1H OCEAN,134000,138296.0
537,-122.3,37.77,42,2038,368.0,2037,355,2.6447,NEAR BAY,200000,196487.0
17519,-121.91,37.33,28,454,147.0,366,140,2.9853,<1H OCEAN,187500,194835.0
1573,-121.99,37.82,22,1248,271.0,579,269,3.375,<1H OCEAN,200000,211323.0
11700,-117.97,33.88,9,1344,279.0,530,265,5.0731,<1H OCEAN,185100,196415.0
3963,-118.57,34.2,18,7157,1869.0,4642,1699,3.1818,<1H OCEAN,208000,211838.0
10735,-117.89,33.6,36,1496,247.0,441,203,7.8164,<1H OCEAN,500001,487783.78
12563,-121.43,38.54,43,2084,417.0,912,410,2.9769,INLAND,92700,96043.0
15322,-117.35,33.2,32,1251,220.0,700,232,3.9875,NEAR OCEAN,142900,202756.12
7604,-118.25,33.88,37,1027,217.0,1042,254,2.2121,<1H OCEAN,98600,108315.0
14672,-117.11,32.82,16,3980,682.0,3174,647,2.6607,NEAR OCEAN,175000,158411.0
12836,-121.46,38.68,35,1299,254.0,705,245,2.8333,INLAND,103000,103831.0
3714,-118.4,34.19,35,2180,599.0,1483,574,3.0395,<1H OCEAN,191300,197622.0
3471,-118.47,34.29,18,4256,987.0,3401,955,4.2935,<1H OCEAN,190000,202513.0
17062,-122.21,37.48,39,1535,340.0,1204,370,2.8482,NEAR BAY,247200,223753.0
13398,-117.53,34.1,5,2185,488.0,1379,458,3.7917,INLAND,103000,116465.0
15207,-117.07,33.0,4,6242,1258.0,2211,1116,4.25,<1H OCEAN,281600,246860.0
6869,-118.11,34.06,16,2416,565.0,1750,514,2.8229,<1H OCEAN,163700,170147.0
14869,-117.09,32.63,27,2920,770.0,1935,746,2.4148,NEAR OCEAN,67500,93842.0
6661,-118.12,34.17,52,2948,542.0,1363,495,4.7098,INLAND,287900,290881.0
13663,-117.31,34.03,24,1966,299.0,786,302,5.0318,INLAND,134500,140331.0
9217,-120.26,37.11,33,1097,254.0,627,253,1.2794,INLAND,50700,54534.0
7983,-118.18,33.87,44,1832,401.0,1056,405,4.0658,<1H OCEAN,175100,175642.0
6526,-118.05,34.06,32,2286,654.0,2991,655,2.1781,<1H OCEAN,174500,169951.0
5310,-118.43,34.06,11,3184,641.0,911,463,7.2675,<1H OCEAN,500001,470480.82
13567,-117.28,34.16,35,2028,456.0,972,398,2.3778,INLAND,90700,90964.0
20325,-119.04,34.28,21,1856,276.0,863,255,4.5833,<1H OCEAN,500001,407695.65
8053,-118.19,33.84,24,1228,320.0,537,273,2.25,NEAR OCEAN,192000,181503.0
19577,-120.75,37.69,24,2282,423.0,1167,398,3.8214,INLAND,116100,128852.0
1367,-122.14,38.01,50,1760,341.0,741,316,4.5,NEAR BAY,178300,187081.0
19797,-123.22,40.54,27,1573,361.0,847,330,1.9034,INLAND,49600,56597.0
8690,-118.33,33.87,35,743,128.0,385,137,6.4891,<1H OCEAN,278100,294149.04
1310,-121.84,37.99,13,4545,952.0,2188,901,3.3625,INLAND,126100,127806.0
8158,-118.12,33.81,37,1798,331.0,860,340,4.2143,<1H OCEAN,228500,227788.0
18381,-121.87,37.21,18,1080,122.0,382,121,9.08,<1H OCEAN,500001,488545.82
18269,-122.07,37.36,28,4612,608.0,1686,567,10.0346,<1H OCEAN,500001,497954.97
13018,-121.2,38.69,26,3077,607.0,1603,595,2.7174,INLAND,137500,133471.0
15456,-117.28,33.18,16,3002,591.0,842,538,2.1205,NEAR OCEAN,157300,153966.01
7047,-118.05,33.95,33,1954,390.0,1600,376,3.6125,<1H OCEAN,170800,168439.0
17620,-121.94,37.27,23,1932,552.0,997,482,3.662,<1H OCEAN,211900,248400.0
10953,-117.87,33.75,26,411,114.0,448,95,1.7019,<1H OCEAN,350000,272203.0
15278,-117.31,33.07,21,2035,534.0,948,467,3.2984,NEAR OCEAN,369400,331692.01
7666,-118.08,33.93,39,859,164.0,673,172,3.7143,<1H OCEAN,158200,165255.0
17575,-121.93,37.32,50,1135,215.0,500,207,4.2614,<1H OCEAN,211300,233960.01
13885,-115.93,35.55,18,1321,272.0,754,226,3.4028,INLAND,67500,71755.0
1116,-121.61,39.77,25,1612,313.0,837,303,2.963,INLAND,89500,92699.0
5969,-117.76,34.1,28,4086,871.0,1973,853,2.621,INLAND,202200,183305.0
3124,-117.82,35.03,30,2555,510.0,1347,467,3.3693,INLAND,71800,70461.0
10888,-117.9,33.7,12,4695,1110.0,2153,989,4.6483,<1H OCEAN,190800,203797.0
13727,-117.19,34.06,21,6107,1559.0,2805,1444,2.5643,INLAND,102700,104373.0
13706,-117.22,34.11,26,2972,,1972,532,2.0388,INLAND,80400,79566.0
18316,-122.13,37.44,42,2390,462.0,1146,468,6.3111,NEAR BAY,397400,414444.15
6544,-118.02,34.05,34,1610,513.0,2050,508,2.5562,<1H OCEAN,156300,159493.0
6968,-118.05,33.98,41,1406,428.0,1174,390,2.0147,<1H OCEAN,137500,143576.0
12050,-117.58,33.89,14,1731,404.0,1269,351,2.3654,INLAND,107900,114954.0
14271,-117.12,32.7,38,818,217.0,953,231,1.0531,NEAR OCEAN,65700,72822.0
5817,-118.24,34.13,45,1971,439.0,1245,430,4.0272,<1H OCEAN,260500,252319.0
2875,-118.97,35.39,38,2121,433.0,1547,441,2.774,INLAND,59500,62226.0
4462,-118.18,34.1,8,1116,267.0,435,235,4.9231,<1H OCEAN,230900,221962.0
6803,-118.13,34.08,40,1931,449.0,1367,446,2.575,<1H OCEAN,228400,218619.0
20611,-121.55,39.1,27,1783,441.0,1163,409,1.2857,INLAND,47000,51303.0
16532,-121.19,37.81,8,4019,857.0,1959,782,2.7321,INLAND,175000,156419.0
359,-122.14,37.76,34,1513,231.0,545,211,5.5701,NEAR BAY,252800,267222.04
6080,-117.86,34.09,26,3408,542.0,1664,543,6.1498,<1H OCEAN,239100,255010.0
20270,-119.18,34.19,5,384,131.0,410,149,1.5625,NEAR OCEAN,87500,153204.07
7408,-118.22,33.96,35,1437,474.0,2113,484,2.6179,<1H OCEAN,158800,159466.0
10549,-117.77,33.7,4,2446,622.0,1315,560,3.7147,<1H OCEAN,137500,160287.0
8321,-118.29,33.95,31,2839,792.0,2390,729,2.0,<1H OCEAN,109800,115014.0
17024,-122.31,37.5,22,14034,3020.0,6266,2952,4.3939,NEAR OCEAN,491200,432407.11
17765,-121.86,37.35,43,1536,371.0,1256,357,2.8,<1H OCEAN,153300,160241.0
5435,-118.42,34.01,32,1300,356.0,703,311,3.5667,<1H OCEAN,394000,378818.03
1372,-122.11,38.01,41,1345,272.0,718,283,3.3831,NEAR BAY,129400,132822.0
4260,-118.34,34.1,24,1996,791.0,1215,672,1.5429,<1H OCEAN,325000,290045.0
4978,-118.29,34.0,41,1807,493.0,1731,471,1.2347,<1H OCEAN,111700,112702.0
4008,-118.62,34.15,26,5661,791.0,2493,780,7.9814,<1H OCEAN,409900,413322.05
18687,-121.79,37.03,18,943,213.0,544,179,3.934,<1H OCEAN,228600,236435.0
10128,-117.9,33.93,12,4325,1191.0,1897,1080,3.3173,<1H OCEAN,247400,220209.0
19804,-123.48,40.34,19,518,108.0,216,80,2.7083,INLAND,64500,73207.0
19974,-118.82,36.13,43,1281,287.0,534,231,2.8906,INLAND,65700,75306.0
19330,-122.85,38.46,22,3328,550.0,1309,512,4.7105,<1H OCEAN,266200,258695.0
548,-122.27,37.77,52,2388,559.0,1121,518,3.3269,NEAR BAY,234500,241169.0
13053,-121.3,38.6,32,9534,1819.0,4951,1710,3.3926,INLAND,103400,112179.0
18793,-122.66,40.52,13,3013,486.0,1361,515,4.5357,INLAND,171200,189160.0
5586,-118.3,33.8,27,2790,513.0,1498,519,5.3106,<1H OCEAN,268300,272188.01
9362,-122.53,37.93,42,2171,362.0,887,347,6.6125,NEAR BAY,393200,415664.21
5785,-118.25,34.16,14,3700,945.0,1681,905,3.9054,<1H OCEAN,200000,226915.0
13571,-117.29,34.15,49,1820,321.0,757,324,3.2976,INLAND,102600,101627.0
10475,-117.68,33.6,24,1956,262.0,969,256,6.8154,<1H OCEAN,265900,275053.01
13715,-117.17,34.12,3,15695,2248.0,6080,1920,6.2178,INLAND,173900,193926.0
3656,-118.4,34.22,43,1220,222.0,729,230,3.6442,<1H OCEAN,186300,184080.0
13156,-121.42,36.86,41,440,106.0,389,94,2.6818,INLAND,225000,201367.0
13181,-117.72,33.97,16,13290,2062.0,6931,2023,5.228,<1H OCEAN,187800,210956.0
17325,-120.11,34.66,18,1348,238.0,631,247,5.3154,NEAR OCEAN,289400,311084.0
12966,-121.32,38.7,16,2966,578.0,1365,480,3.2444,INLAND,118400,124458.0
10771,-117.9,33.65,24,4496,877.0,1928,855,4.6808,<1H OCEAN,245500,246072.0
18396,-121.77,37.23,15,4713,769.0,2519,778,5.6958,<1H OCEAN,253800,260103.0
15109,-116.96,32.86,14,3064,496.0,1681,503,4.4347,<1H OCEAN,160300,161323.0
13249,-117.64,34.11,16,2129,420.0,932,379,2.5868,INLAND,146900,137742.0
15959,-122.43,37.71,35,2878,564.0,1633,528,4.5,NEAR BAY,266900,265993.0
18893,-122.23,38.13,29,5154,1084.0,2459,1019,3.2664,NEAR BAY,142900,142617.0
11183,-117.94,33.82,27,1366,326.0,878,325,3.4,<1H OCEAN,196900,196953.0
5627,-118.27,33.77,39,1731,485.0,2115,478,1.5369,NEAR OCEAN,141300,148548.0
19812,-118.94,36.32,10,2271,398.0,986,358,4.0703,INLAND,147100,130567.0
13486,-117.35,34.13,26,3920,570.0,1862,552,3.7286,INLAND,132000,124978.0
7679,-118.09,33.93,37,1950,356.0,1183,338,4.1449,<1H OCEAN,175300,176393.0
15685,-122.42,37.8,52,4079,1112.0,1466,1024,4.5913,NEAR BAY,500001,498000.98
19648,-120.89,37.48,27,1118,195.0,647,209,2.9135,INLAND,159400,142432.0
17214,-119.71,34.44,52,1837,343.0,711,355,4.1316,<1H OCEAN,443000,379006.0
20504,-118.73,34.29,11,5451,736.0,2526,752,7.355,<1H OCEAN,343900,340097.0
9379,-122.48,37.93,16,2947,802.0,1385,743,3.6731,NEAR BAY,318000,299673.01
5774,-118.27,34.16,52,830,183.0,479,179,3.1397,<1H OCEAN,253700,252328.0
4862,-118.27,34.03,50,395,232.0,948,243,1.7546,<1H OCEAN,175000,161812.0
5478,-118.45,34.0,43,1606,408.0,862,354,3.962,<1H OCEAN,345800,356163.07
8666,-118.43,33.83,19,6206,1611.0,2455,1472,5.145,NEAR OCEAN,420200,405990.08
11205,-117.91,33.83,37,1039,260.0,719,243,3.0288,<1H OCEAN,161400,168355.0
8407,-118.34,33.93,36,1528,486.0,1824,470,2.2679,<1H OCEAN,153900,157792.0
18946,-122.03,38.3,5,1569,199.0,713,209,6.6779,INLAND,223900,251174.0
7031,-118.1,33.97,20,1878,548.0,1461,516,2.9821,<1H OCEAN,142500,153727.0
16826,-122.49,37.63,31,1256,328.0,785,297,3.2446,NEAR OCEAN,234600,243388.0
17218,-119.7,34.43,52,977,289.0,412,272,2.125,<1H OCEAN,300000,292609.01
11690,-118.0,33.87,13,2086,544.0,1356,462,2.95,<1H OCEAN,165600,174330.0
13162,-121.4,36.86,36,1256,270.0,910,255,1.9405,INLAND,145400,128073.0
5061,-118.28,33.99,35,1138,304.0,1128,311,1.8818,<1H OCEAN,100000,100703.0
5006,-118.32,34.01,47,1745,371.0,1079,368,2.4022,<1H OCEAN,123400,123640.0
16436,-121.3,38.09,31,335,53.0,154,55,2.0694,INLAND,175000,145896.0
9798,-121.91,36.55,39,5468,834.0,1782,712,5.7248,NEAR OCEAN,398800,393416.05
15624,-122.41,37.8,52,812,252.0,629,247,2.5875,NEAR BAY,500001,410736.66
11968,-117.41,34.0,38,2228,571.0,1697,530,1.9052,INLAND,83400,89811.0
14708,-117.06,32.8,17,2247,340.0,973,318,5.5,<1H OCEAN,222000,209747.0
3827,-118.46,34.2,22,4855,1350.0,2519,1258,3.0893,<1H OCEAN,205600,214725.0
762,-122.08,37.65,35,1813,393.0,1093,374,3.6818,NEAR BAY,165400,172505.0
11804,-121.3,38.89,45,1529,317.0,793,281,2.9866,INLAND,91300,97398.0
12191,-117.38,33.67,9,13288,2728.0,7235,2350,3.375,<1H OCEAN,131800,150906.03
7411,-118.22,33.95,36,1679,483.0,2249,487,2.8167,<1H OCEAN,160400,159561.0
15615,-122.41,37.81,31,3991,1311.0,2305,1201,1.8981,NEAR BAY,500001,397891.61
16449,-121.27,38.14,40,929,257.0,576,229,2.125,INLAND,137500,121055.0
10571,-117.67,33.66,4,10175,2181.0,4762,1929,4.7341,<1H OCEAN,237400,222741.0
18399,-121.76,37.23,16,4274,715.0,2240,704,5.4218,<1H OCEAN,233900,243634.0
4037,-118.53,34.16,32,3554,762.0,1623,750,3.6141,<1H OCEAN,290600,312018.03
11708,-120.2,39.12,15,2146,361.0,197,76,4.1316,INLAND,200000,183291.0
17745,-121.76,37.3,6,3526,559.0,1378,491,6.1463,<1H OCEAN,335500,321863.01
17752,-121.83,37.32,21,4559,1163.0,5124,1124,3.2052,<1H OCEAN,179000,191788.0
1654,-122.01,37.92,16,2638,345.0,1055,334,8.1163,NEAR BAY,365800,376192.01
19144,-122.7,38.33,26,1887,381.0,1060,364,3.0078,<1H OCEAN,160400,163905.0
10738,-117.91,33.6,37,2088,510.0,673,390,5.1048,<1H OCEAN,500001,478221.78
17533,-121.89,37.34,43,1423,467.0,1013,428,1.6708,<1H OCEAN,204200,210423.0
10640,-117.79,33.69,16,3067,396.0,1275,372,8.7385,<1H OCEAN,340000,347335.01
18527,-122.04,36.97,49,792,136.0,331,137,5.2128,NEAR OCEAN,238600,260849.02
12491,-121.47,38.57,48,3136,926.0,1443,877,1.9034,INLAND,123900,120687.0
18646,-121.99,36.97,15,3044,786.0,1306,693,2.1771,NEAR OCEAN,213200,217587.0
4737,-118.38,34.05,52,1241,210.0,526,214,4.4191,<1H OCEAN,334100,352420.01
2992,-119.0,35.31,37,1337,275.0,767,273,1.6522,INLAND,53300,53447.0
19826,-119.48,36.54,28,2112,363.0,1011,335,4.2222,INLAND,108900,104195.0
290,-122.16,37.77,47,1256,,570,218,4.375,NEAR BAY,161900,183642.0
18636,-122.01,37.03,21,5904,956.0,2616,916,5.9039,NEAR OCEAN,355300,348894.02
3205,-119.62,36.35,10,3674,734.0,1864,718,2.6145,INLAND,80300,80636.0
20441,-118.78,34.26,24,4072,582.0,1834,565,6.0487,<1H OCEAN,254500,257926.0
18166,-122.02,37.35,18,1221,255.0,507,271,5.3679,<1H OCEAN,228400,274613.1
2383,-119.43,36.63,25,1784,312.0,904,303,3.625,INLAND,107600,102808.0
11335,-117.95,33.75,24,2027,358.0,1405,341,5.1416,<1H OCEAN,231400,232230.0
16609,-120.47,35.74,9,4267,785.0,2065,691,3.7303,<1H OCEAN,162700,175030.0
1727,-122.37,37.96,37,1572,402.0,1046,350,0.7403,NEAR BAY,68600,73695.0
313,-122.19,37.77,45,1852,393.0,1132,349,2.7159,NEAR BAY,101400,111393.0
449,-122.28,37.87,46,1777,446.0,805,431,2.8676,NEAR BAY,212000,205753.0
14681,-117.09,32.83,15,4138,636.0,2001,677,4.8419,<1H OCEAN,264000,237109.0
11632,-118.03,33.82,20,2662,464.0,1275,472,6.0162,<1H OCEAN,318500,307931.0
16455,-121.28,38.12,34,3268,640.0,1906,628,2.8237,INLAND,110700,108283.0
19117,-122.64,38.23,52,2156,469.0,1070,467,3.3011,<1H OCEAN,252300,230870.0
5560,-118.44,33.95,37,2076,332.0,771,327,6.2551,<1H OCEAN,500001,469410.71
14601,-117.16,32.81,35,1213,200.0,532,181,3.6806,NEAR OCEAN,172400,172779.0
15085,-116.92,32.82,34,1765,284.0,772,282,5.0118,<1H OCEAN,165300,170053.0
9687,-121.62,36.74,30,1337,253.0,838,247,5.0374,<1H OCEAN,165400,184024.0
8435,-118.37,33.92,40,928,187.0,521,185,5.5255,<1H OCEAN,242700,263256.04
1471,-122.01,37.97,34,3259,498.0,1250,478,5.3794,NEAR BAY,206200,227787.01
13857,-117.27,34.5,7,2045,342.0,878,292,6.0296,INLAND,194100,184689.0
8176,-118.09,33.81,36,1371,250.0,666,257,5.0795,<1H OCEAN,243300,232882.0
9211,-120.31,37.11,38,1696,301.0,985,278,2.4054,INLAND,112500,99995.0
8447,-118.37,33.9,32,332,103.0,177,102,3.3409,<1H OCEAN,256300,262364.0
7765,-118.11,33.91,29,889,166.0,597,163,4.9609,<1H OCEAN,186700,190466.0
17977,-121.97,37.31,25,5775,1225.0,3580,1138,3.9187,<1H OCEAN,314900,298313.01
14630,-117.18,32.77,23,1215,225.0,592,224,3.4,NEAR OCEAN,200600,203075.0
3493,-118.48,34.28,35,1511,274.0,873,254,5.5608,<1H OCEAN,226700,227224.0
7655,-118.27,33.82,28,1642,434.0,1575,420,4.1292,<1H OCEAN,201900,195106.0
5076,-118.32,33.98,49,1993,446.0,1052,394,2.2138,<1H OCEAN,119800,121728.0
6844,-118.12,34.06,17,5137,1614.0,4945,1535,2.4599,<1H OCEAN,181600,184076.0
6139,-117.96,34.07,32,2910,709.0,2583,670,3.7736,<1H OCEAN,158400,167525.0
16340,-121.33,38.04,15,1933,280.0,965,260,4.6477,INLAND,142700,142900.0
490,-122.25,37.86,52,1389,191.0,514,202,7.0897,NEAR BAY,446200,415206.02
16680,-120.59,35.13,8,6638,1054.0,2710,966,4.6776,<1H OCEAN,295500,281131.0
3299,-122.62,38.95,19,2230,538.0,832,359,1.6865,INLAND,58800,69084.0
3319,-122.85,39.0,20,1580,318.0,753,252,1.8704,INLAND,88500,85333.0
12628,-121.48,38.5,23,2679,792.0,1740,659,1.3679,INLAND,70300,76605.0
12560,-121.46,38.54,48,1001,205.0,605,175,1.8333,INLAND,58200,69296.0
9761,-121.74,36.49,33,2952,565.0,1264,517,4.4209,<1H OCEAN,274600,259593.0
8865,-118.39,34.06,37,2975,705.0,1291,654,5.3316,<1H OCEAN,500001,483525.81
11998,-117.56,33.94,29,266,42.0,136,40,1.625,INLAND,164300,164463.01
5468,-118.47,33.99,52,2167,622.0,1095,570,2.8514,<1H OCEAN,358700,364376.06
14822,-117.12,32.66,52,16,4.0,8,3,1.125,NEAR OCEAN,60000,77924.0
3060,-119.14,35.76,30,735,137.0,421,113,2.5625,INLAND,156300,135640.0
18165,-122.02,37.35,17,2975,608.0,1465,577,5.8779,<1H OCEAN,362200,356715.03
15069,-116.97,32.78,35,1113,236.0,681,246,2.9784,<1H OCEAN,136400,144945.0
19944,-119.37,36.22,19,1673,318.0,1298,343,2.706,INLAND,64800,69517.0
13016,-121.18,38.69,7,7104,970.0,2772,920,6.3528,INLAND,274500,266426.0
9010,-118.69,34.08,23,204,40.0,117,41,9.7646,NEAR OCEAN,500001,491629.96
3597,-118.5,34.25,32,2333,389.0,969,331,4.8164,<1H OCEAN,241100,244716.0
14752,-117.05,32.57,13,2880,576.0,2450,567,3.1696,NEAR OCEAN,138000,133237.0
5972,-117.76,34.12,16,9020,1509.0,3575,1486,4.2415,INLAND,275700,252328.0
18369,-121.9,37.16,43,1529,311.0,570,250,5.2366,<1H OCEAN,293300,323568.06
6880,-118.09,34.07,45,726,146.0,568,160,3.0347,<1H OCEAN,183200,184760.0
3693,-118.38,34.21,42,715,145.0,730,158,3.8,<1H OCEAN,169500,176806.0
12026,-117.48,33.94,19,1891,465.0,1693,416,2.7813,INLAND,112900,110040.0
16162,-122.5,37.78,50,1922,427.0,1049,443,3.5833,NEAR BAY,348500,364825.09
3450,-118.43,34.33,18,5891,920.0,2882,911,5.901,<1H OCEAN,235600,255803.02
16660,-120.7,35.31,24,3504,521.0,1490,506,4.6719,NEAR OCEAN,337000,309451.0
13694,-117.23,34.13,10,1145,293.0,726,251,1.645,INLAND,68700,75650.0
4812,-118.37,34.02,44,1944,458.0,981,377,2.6154,<1H OCEAN,193200,189566.01
19226,-122.68,38.46,19,4976,711.0,1926,625,7.3003,<1H OCEAN,381300,379059.03
16696,-120.62,35.11,18,2241,544.0,1521,509,2.0292,<1H OCEAN,155800,155009.0
20308,-119.13,34.19,16,6389,1330.0,6242,1340,4.0222,NEAR OCEAN,206800,216669.0
994,-121.73,37.71,12,5608,1049.0,2595,1067,3.9864,INLAND,200200,189329.0
2295,-119.75,36.8,25,2718,504.0,1257,465,2.3333,INLAND,90600,83797.0
15026,-117.01,32.77,34,3330,723.0,1592,656,2.6678,<1H OCEAN,164200,163400.0
13423,-117.38,34.14,11,10804,1493.0,5221,1482,5.246,INLAND,161400,171410.0
18271,-122.09,37.36,37,1550,238.0,805,250,5.0222,NEAR BAY,500001,423669.65
16598,-120.93,35.76,11,8997,1698.0,1825,756,3.23,<1H OCEAN,154300,178071.0
19626,-121.03,37.33,27,1333,230.0,730,229,3.06,INLAND,106000,108316.0
1356,-121.92,38.02,16,1840,355.0,1288,338,4.2067,INLAND,125000,131187.0
6800,-118.12,34.09,25,4870,1371.0,3518,1296,3.2307,<1H OCEAN,188400,202576.0
554,-122.26,37.77,52,1848,479.0,921,477,2.875,NEAR BAY,234000,231553.0
10101,-117.97,33.92,32,2620,398.0,1296,429,5.7796,<1H OCEAN,241300,247655.0
8814,-118.33,33.77,33,4244,595.0,1534,557,9.8214,NEAR OCEAN,500001,500001.0
14599,-117.17,32.82,24,1569,377.0,715,321,3.1146,NEAR OCEAN,187500,201429.03
8094,-118.21,33.82,43,1005,199.0,723,191,4.3424,NEAR OCEAN,162500,171289.0
9430,-122.9,38.28,52,1275,218.0,627,185,2.3482,NEAR OCEAN,163500,172206.01
15589,-116.67,32.97,16,349,74.0,120,43,5.359,<1H OCEAN,193800,196156.0
4745,-118.35,34.05,46,2149,451.0,905,443,2.8841,<1H OCEAN,290800,283046.04
18220,-122.07,37.4,15,2940,910.0,943,711,4.359,NEAR BAY,192200,226019.04
12140,-117.17,33.83,7,77,12.0,64,15,4.6,INLAND,187500,209358.06
